AssemblyAcc	BioProject	BioSample	RunAccessions
GCA_002414565.1	PRJNA348753	SAMN06454728	SRR5321693
GCA_002414635.1	PRJNA348753	SAMN06454730	SRR5321698
GCA_002414705.1	PRJNA348753	SAMN06454965	SRR5321684
GCA_002414725.1	PRJNA348753	SAMN06457531	SRR5321688
GCA_002415015.1	PRJNA348753	SAMN06452484	SRR5324693
GCA_002415135.1	PRJNA348753	SAMN06450489	SRR5325778
GCA_002415175.1	PRJNA348753	SAMN06455471	SRR5325777
GCA_002415215.1	PRJNA348753	SAMN06457502	SRR5325780
GCA_002416265.1	PRJNA348753	SAMN06450724	SRR5325609
GCA_002420545.1	PRJNA348753	SAMN06452929	SRR5329869
GCA_002421065.1	PRJNA348753	SAMN06452641	SRR5329776
GCA_002421305.1	PRJNA348753	SAMN06452380	SRR5329788
GCA_002421645.1	PRJNA348753	SAMN06455451	SRR5323258
GCA_002422095.1	PRJNA348753	SAMN06457395	SRR5323272
GCA_002422665.1	PRJNA348753	SAMN06457398	SRR5323226
GCA_002425465.1	PRJNA348753	SAMN06455625	SRR5325440
GCA_002426015.1	PRJNA348753	SAMN06455140	SRR5323757
GCA_002426065.1	PRJNA348753	SAMN06455145	SRR5323767
GCA_002426075.1	PRJNA348753	SAMN06457712	SRR5325617
GCA_002426755.1	PRJNA348753	SAMN06450406	SRR5323770
GCA_002426785.1	PRJNA348753	SAMN06455136	SRR5323761
GCA_002426835.1	PRJNA348753	SAMN06455141	SRR5323758
GCA_002427935.1	PRJNA348753	SAMN06451131	SRR5327068
GCA_002428305.1	PRJNA348753	SAMN06453825	SRR5323129
GCA_002428965.1	PRJNA348753	SAMN06455375	SRR5324913
GCA_002429185.1	PRJNA348753	SAMN06450365	SRR5327081
GCA_002429285.1	PRJNA348753	SAMN06456181	SRR5327062
GCA_002429685.1	PRJNA348753	SAMN06453041	SRR5330066
GCA_002429865.1	PRJNA348753	SAMN06453565	SRR5329833
GCA_002430025.1	PRJNA348753	SAMN06450793	SRR5329822
GCA_002430205.1	PRJNA348753	SAMN06455494	SRR5324919
GCA_002430445.1	PRJNA348753	SAMN06450509	SRR5323971
GCA_002430455.1	PRJNA348753	SAMN06450510	SRR5323972
GCA_002430545.1	PRJNA348753	SAMN06454570	SRR5323967
GCA_002430925.1	PRJNA348753	SAMN06455091	SRR5326310
GCA_002431085.1	PRJNA348753	SAMN06456024	SRR5330082
GCA_002433125.1	PRJNA348753	SAMN06453389	SRR5321476
GCA_002433505.1	PRJNA348753	SAMN06454035	SRR5321460
GCA_002433745.1	PRJNA348753	SAMN06454204	SRR5321445
GCA_002434285.1	PRJNA348753	SAMN06457756	SRR5330215
GCA_002435045.1	PRJNA348753	SAMN06454709	SRR5321571
GCA_002435115.1	PRJNA348753	SAMN06454705	SRR5321545
GCA_002435265.1	PRJNA348753	SAMN06450964	SRR5321555
GCA_002439125.1	PRJNA348753	SAMN06454160	SRR5326306
GCA_002439165.1	PRJNA348753	SAMN06453132	SRR5325760
GCA_002440405.1	PRJNA348753	SAMN06453925	SRR5326302
GCA_002440605.1	PRJNA348753	SAMN06450946	SRR5322607
GCA_002440705.1	PRJNA348753	SAMN06455708	SRR5322603
GCA_002441475.1	PRJNA348753	SAMN06450454	SRR5323222
